document,page,matched_term,section_context
ind_prs07122023.pdf,8,Nifty 500,Sr. No. Company Name Symbol 18 Tube Investments of India Ltd. TIINDIA 19 TVS Motor Company Ltd. TVSM
ind_prs07122023.pdf,14,Nifty 500,Sr. No. Company Name Symbol 38 Oriana Power Ltd. ORIANA 39 Paragon Fine and Speciality Chemical Ltd.
ind_prs08122021.pdf,6,Nifty 500,Sr. No. Company Name Symbol 13 Titan Company Ltd. TITAN 14 Torrent Power Ltd. TORNTPOWER 15 United S
ind_prs09012020.pdf,1,Nifty 500,"Press Release January 09, 2020 Replacement in indices The Index Maintenance Sub-Committee (IMSC) of "
ind_prs09022023_1.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, February 09, 2023 Replacements in indices The Index Maintenance Sub-Committee "
ind_prs09062023.pdf,7,Nifty 500,The following companies are being included: Sr. No. Company Name Symbol 1 Apollo Tyres Ltd. APOLLOTY
ind_prs09062023.pdf,13,Nifty 500,Sr. No. Company Name Symbol 19 Srivasavi Adhesive Tapes Ltd. SRIVASAVI 20 Systango Technologies Ltd.
ind_prs10062026.pdf,7,Nifty 500,Sr. No. Company Name Symbol 7 Sundaram Finance Ltd. SUNDARMFIN 8 Voltas Ltd. VOLTAS h) Nifty Smallca
ind_prs10062026.pdf,8,Nifty 500,Sr. No. Company Name Symbol 1 Angel One Ltd. ANGELONE 2 AstraZenca Pharma India Ltd. ASTRAZEN 3 Glax
ind_prs10062026.pdf,11,Nifty 500,Sr. No. Company Name Symbol 22 UPL Ltd. UPL The following companies are being included: Sr. No. Comp
ind_prs10062026.pdf,14,Nifty 500,The following company is being included: Sr. No. Company Name Symbol 1 ITC Ltd. ITC o) Nifty500 Valu
ind_prs10062026.pdf,15,Nifty 500,Sr. No. Company Name Symbol 1 Bajaj Finserv Ltd. BAJAJFINSV 2 Grasim Industries Ltd. GRASIM 3 HDFC B
ind_prs10062026.pdf,18,Nifty 500,Sr. No. Company Name Symbol 2 Adani Total Gas Ltd. ATGL 3 Ajanta Pharmaceuticals Ltd. AJANTPHARM 4 A
ind_prs10062026.pdf,21,Nifty 500,Sr. No. Company Name Symbol 19 NESCO Ltd. NESCO 20 Persistent Systems Ltd. PERSISTENT 21 Pricol Ltd.
ind_prs10062026.pdf,29,Nifty 500,Sr. No. Company Name Symbol 1 Acetech E-Commerce Ltd. ACETEC 2 Adisoft Technologies Ltd. ADISOFT 3 A
ind_prs10072026_1.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, July 10, 2026 NSE Indices launches Nifty500 Ahimsa Index NSE's index services "
ind_prs10102024.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, October 10, 2024 Replacement in indices The Index Maintenance Sub-Committee (E"
ind_prs10102024_1.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, October 10, 2024 Replacements in indices The Index Maintenance Sub-Committee ("
ind_prs11072022.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, July 11, 2022 Replacements in indices The Index Maintenance Sub-Committee (Equ"
ind_prs11072022.pdf,2,Nifty 500,The above replacements will also be applicable to Nifty500 Multicap 50:25:25 index. 2) Nifty 100 The
ind_prs11072022.pdf,9,Nifty 500,23) Nifty Dividend Opportunities 50 The following company is being excluded: Sr. No. Company Name Sy
ind_prs11122020.pdf,4,Nifty 500,Sr. No. Company Name Symbol 4 Bajaj Finance Ltd. BAJFINANCE Cholamandalam Investment and Finance 5 C
ind_prs11122024.pdf,9,Nifty 500,The following companies are being included: Sr. No. Company Name Symbol 1 Biocon Ltd. BIOCON 2 Cofor
ind_prs11122024.pdf,15,Nifty 500,Sr. No. Company Name Symbol 20 MphasiS Ltd. MPHASIS 21 Newgen Software Technologies Ltd. NEWGEN 22 P
ind_prs11122024.pdf,17,Nifty 500,o) Nifty200 Value 30 The following companies are being excluded: Sr. No. Company Name Symbol 1 Indus
ind_prs11122024.pdf,25,Nifty 500,Sr. No. Company Name Symbol 63 SPP Polymer Ltd. SPPPOLY 64 Sunlite Recycling Industries Ltd. SUNLITE
ind_prs11122025.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, December 11, 2025 Replacements in indices The Index Maintenance Sub-Committee "
ind_prs11122025.pdf,3,Nifty 500,6) Nifty500 Multicap India Manufacturing 50:30:20 The following company is being excluded: Sr. No. C
ind_prs11122025.pdf,8,Nifty 500,Sr. No. Company Name Symbol 9 Maharashtra Seamless Ltd. MAHSEAMLES 10 Manappuram Finance Ltd. MANAPP
ind_prs11122025.pdf,9,Nifty 500,The following companies are being included: Sr. No. Company Name Symbol 1 Aditya Birla Sun Life AMC 
ind_prs11122025.pdf,12,Nifty 500,Sr. No. Company Name Symbol 9 GMR Airports Ltd. GMRAIRPORT 10 Hero MotoCorp Ltd. HEROMOTOCO 11 IDFC 
ind_prs11122025.pdf,14,Nifty 500,Sr. No. Company Name Symbol 22 IIFL Finance Ltd. IIFL 23 Indian Bank INDIANB 24 Karur Vysya Bank Ltd
