document,page,matched_term,section_context
ind_prs24052022.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, May 24, 2022 Replacement in indices The Index Maintenance Sub-Committee - Equi"
ind_prs24052022.pdf,2,Nifty 500,3) Nifty MidSmallcap 400 The following company is being excluded: Sr. No. Company Name Symbol 1 Jind
ind_prs24072023.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, July 24, 2023 Replacements in indices The Index Maintenance Sub-Committee (Equ"
ind_prs24072024.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, July 24, 2024 Replacements in indices The Index Maintenance Sub-Committee (Equ"
ind_prs24072025.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, July 24, 2025 Replacements in indices The Index Maintenance Sub-Committee (Equ"
ind_prs24102018.pdf,1,Nifty 500,"PRESS RELEASE October 24, 2018 NSE Indices launches NIFTY500 Value 50 Index tracks performance of se"
ind_prs25062025.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, June 25, 2025 NSE Indices launches Nifty500 Healthcare Index NSE’s index servi"
ind_prs25092024.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, September 25, 2024 Replacements in indices The Index Maintenance Sub-Committee"
ind_prs25092024.pdf,2,Nifty 500,Sr. Index Name Security Name Symbol Remarks No. Nifty LargeMidcap Vodafone Idea Ltd. IDEA Exclusion 
ind_prs26072022.pdf,2,Nifty 500,The following companies are being included: Sr. No. Company Name Symbol 1 Tata Steel Ltd. TATASTEEL 
ind_prs26102020.pdf,1,Nifty 500,"Press Release October 26, 2020 Replacement in Indices The Index Maintenance Sub-Committee (IMSC) of "
ind_prs27042017.pdf,1,Nifty 500,Date: 27 April 2017 PRESS RELEASE Replacements in indices and change in NIFTY100 Equal Weight index 
ind_prs28022024.pdf,2,Nifty 500,Sr. No. Company Name Symbol 3 PI Industries Ltd. PIIND 4 Procter & Gamble Hygiene & Health Care Ltd.
ind_prs28022024.pdf,4,Nifty 500,Sr. No. Company Name Symbol 20 JSW Infrastructure Ltd. JSWINFRA 21 Jupiter Wagons Ltd. JWL 22 Lloyds
ind_prs29082017.pdf,1,Nifty 500,"Date: August 29, 2017 PRESS RELEASE Replacements in Indices On August 28, 2017 IISL announced replac"
ind_prs31052024.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, May 31, 2024 NSE Indices launches Nifty500 Equal Weight Index NSE’s index serv"
ind_prs31082018.pdf,1,Nifty 500,"August 31, 2018 Replacement in Indices The Index Maintenance Sub-Committee (IMSC) has decided to rep"
