override_source_document,keyword,symbol,raw_event_count,link_status
ind_prs01082018.pdf,revised,,2,MATCHED
ind_prs03062009.pdf,modification,,0,OVERRIDE_ONLY
ind_prs07092020.pdf,revoke,,2,MATCHED
ind_prs10062026.pdf,revised,,6,MATCHED
ind_prs11122024.pdf,revised,,78,MATCHED
ind_prs12032026.pdf,revised,,25,MATCHED
ind_prs12102021.pdf,revised,,0,OVERRIDE_ONLY
ind_prs13032019.pdf,revised,,0,OVERRIDE_ONLY
ind_prs13052020.pdf,revised,,0,OVERRIDE_ONLY
ind_prs13072026.pdf,revised,,0,OVERRIDE_ONLY
ind_prs15062018.pdf,revised,,0,OVERRIDE_ONLY
ind_prs15092021.pdf,revoke,,0,OVERRIDE_ONLY
ind_prs15092025_1.pdf,revision,,2,MATCHED
ind_prs16122019.pdf,revised,,0,OVERRIDE_ONLY
ind_prs17032025.pdf,revoke,,2,MATCHED
ind_prs17082023.pdf,revised,,36,MATCHED
ind_prs17092019.pdf,revised,,2,MATCHED
ind_prs17102023.pdf,withdraw,,2,MATCHED
ind_prs18022020.pdf,revised,,0,OVERRIDE_ONLY
ind_prs18112022.pdf,revision,,0,OVERRIDE_ONLY
ind_prs19032024.pdf,revoke,,2,MATCHED
ind_prs19042023_1.pdf,withdraw,,4,MATCHED
ind_prs20082020.pdf,revised,,0,OVERRIDE_ONLY
ind_prs22022016.pdf,revised,,0,OVERRIDE_ONLY
ind_prs22022016_1.pdf,revised,,0,OVERRIDE_ONLY
ind_prs22082017.pdf,revised,,0,OVERRIDE_ONLY
ind_prs22092020.pdf,revoke,,0,OVERRIDE_ONLY
ind_prs22102021.pdf,revised,,2,MATCHED
ind_prs23022021_1.pdf,revised,,0,OVERRIDE_ONLY
ind_prs23032020.pdf,revised,,2,MATCHED
ind_prs23082024.pdf,revised,,54,MATCHED
ind_prs23082024_1.pdf,revised,,0,OVERRIDE_ONLY
ind_prs23092024.pdf,revoke,,42,MATCHED
ind_prs24022022_1.pdf,revision,,64,MATCHED
ind_prs24062021.pdf,revoke,,0,OVERRIDE_ONLY
ind_prs25021999.pdf,withdrawn,,0,OVERRIDE_ONLY
ind_prs25032020.pdf,revised,,0,OVERRIDE_ONLY
ind_prs25092024.pdf,revoke,,0,OVERRIDE_ONLY
ind_prs26022024.pdf,revised,,0,OVERRIDE_ONLY
ind_prs26042023.pdf,revised,,0,OVERRIDE_ONLY
ind_prs26072022.pdf,revision,,14,MATCHED
ind_prs27092023.pdf,revision,,0,OVERRIDE_ONLY
