source_document,source_url,source_page,section_heading,section_start_page,section_end_page,announcement_date,effective_date,review_period,event_type,event_type_basis,company_name,symbol,old_symbol,new_symbol,isin,extraction_status,extraction_notes
ind_prs10062026.pdf,https://www.niftyindices.com/Press_Release/ind_prs10062026.pdf,Page 8,i) Nifty500 Quality 50,7,8,"June 10, 2026",,2026-JUN,REPLACEMENT,,Angel One Ltd.,ANGELONE,,,,PASS,Extracted from ind_prs10062026.pdf Page 8 table
ind_prs10062026.pdf,https://www.niftyindices.com/Press_Release/ind_prs10062026.pdf,Page 8,i) Nifty500 Quality 50,7,8,"June 10, 2026",,2026-JUN,REPLACEMENT,,AstraZenca Pharma India Ltd.,ASTRAZEN,,,,PASS,Extracted from ind_prs10062026.pdf Page 8 table
ind_prs10062026.pdf,https://www.niftyindices.com/Press_Release/ind_prs10062026.pdf,Page 8,i) Nifty500 Quality 50,7,8,"June 10, 2026",,2026-JUN,REPLACEMENT,,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,,,,PASS,Extracted from ind_prs10062026.pdf Page 8 table
