target,horizon,n,annual_fold_wins,evidence,brier_r2b,baseline_brier_r2b,improvement_pct,roc_auc,pr_auc,mae,baseline_mae,rmse,spearman_r2b,quality,spearman_original,mae_improvement_pct,auc,brier_original,baseline_brier_original
adverse_first,10,18481,3,CALIBRATED_LOW_STRENGTH,0.2390051460739888,0.24403375202773125,2.0606190381283938,0.5759958561752161,0.6341371509904736,,,,,CALIBRATED_LOW_STRENGTH,,,0.5651617984694013,0.2402681345942168,0.2437781323396221
forward_volatility,10,18481,3,WELL_CALIBRATED,,,14.167068078162856,,,16.040285351735825,18.68779848548427,25.116921126633482,0.5555889294989081,WELL_CALIBRATED,0.5738947140105337,18.95213407781563,,,
mae,10,18481,2,CALIBRATED_LOW_STRENGTH,,,4.343595266741334,,,4.191143721477479,4.3814564567470775,5.917879620707602,0.27087441761222936,WELL_CALIBRATED,0.2982079449948242,7.401835238087008,,,
mfe,10,18481,0,ORDINAL_ONLY,,,-6.338795483211353,,,6.3051873613090885,5.9293387071556065,9.013882924276464,0.2998576314485942,CALIBRATED_LOW_STRENGTH,0.2856053759340687,3.812683094095855,,,
success_5_before_3,10,18481,3,CALIBRATED_LOW_STRENGTH,0.23283701806353474,0.23301590668709637,0.07677099220606177,0.5441132662984007,0.3950537662366318,,,,,CALIBRATED_LOW_STRENGTH,,,0.5508417512225934,0.2308529296176524,0.2327763435590484
