year,horizon,target,n,mae,baseline_mae,improvement_pct,rmse,spearman,brier,baseline_brier,roc_auc,pr_auc
2024,5,mfe,10759,5.071328433848633,4.807293432012223,-5.492383720081986,7.545498449916535,0.2700305863124079,,,,
2024,5,mae,10759,3.313542321609831,3.4728703207976537,4.587790054632037,4.944396142390761,0.25433245664682613,,,,
2024,5,forward_volatility,10759,21.54253181650778,22.704460814591997,5.117624274686382,34.589834889268225,0.40785330909497,,,,
2024,5,success_5_before_3,10759,,,1.6851107728454808,,,0.22714428716541588,0.23103752539516542,0.581682499820014,0.42838605279043795
2024,5,adverse_first,10759,,,2.5714897257434997,,,0.24284076503690333,0.24925020854092753,0.581250377915288,0.6111691926181426
2024,10,mfe,10553,6.893023097034618,6.477171250073916,-6.420269449506323,9.958315684559587,0.24346730262030603,,,,
2024,10,mae,10553,4.345956661095534,4.6890878080460405,7.317652409104501,6.246057625946087,0.2806638236463363,,,,
2024,10,forward_volatility,10553,17.52530716529986,19.73714676204923,11.206480974252639,27.867211986738354,0.467360470878074,,,,
2024,10,success_5_before_3,10553,,,0.2250445543631237,,,0.2383348159778395,0.23887238527277319,0.5646673861730717,0.45197098133629426
2024,10,adverse_first,10553,,,1.4516955306216262,,,0.24073804428780446,0.24428430867890608,0.5664992407429039,0.6360760473516501
2024,20,mfe,9977,9.717528462310154,9.222970537974014,-5.3622411814055155,13.944117696183804,0.19938554058551358,,,,
2024,20,mae,9977,5.310366462522747,5.843053340995255,9.116584213516262,7.351700254084244,0.3265030580291023,,,,
2024,20,forward_volatility,9977,14.34008276110924,17.17283929738253,16.495563064548428,21.91722219110172,0.5149763046034451,,,,
2024,20,success_5_before_3,9977,,,0.5811215092731995,,,0.2399311707241054,0.2413336122540195,0.566011823075232,0.46114673441010046
2024,20,adverse_first,9977,,,1.1106738504166742,,,0.23969983467402675,0.2423920194495498,0.5665483917043788,0.6456589824540157
2025,5,mfe,4947,3.7948816982142115,3.5655521618014485,-6.431809885425915,5.418972017471184,0.26488657747058747,,,,
2025,5,mae,4947,2.9094953863133792,3.010283855832318,3.3481383931174746,4.243714435051015,0.3281507571176642,,,,
2025,5,forward_volatility,4947,16.17545302526952,18.577013929301295,12.927593816591928,24.408981646489796,0.5389927065523098,,,,
2025,5,success_5_before_3,4947,,,2.756580845001118,,,0.19783949479680185,0.20344769498639306,0.5594833960288633,0.32376044564997164
2025,5,adverse_first,4947,,,5.802996902185454,,,0.23536132112764885,0.24986073164477293,0.6365463679805324,0.6171116036007167
2025,10,mfe,4846,5.167929023065638,4.873746383579154,-6.036067869219822,7.122373536549773,0.2601854727764132,,,,
2025,10,mae,4846,3.856589363988558,4.061416996488409,5.043255412506253,5.412348129192078,0.3153159806650931,,,,
2025,10,forward_volatility,4846,13.055056144719268,16.431774776266003,20.54993253938738,19.11114883411103,0.6155155604085016,,,,
2025,10,success_5_before_3,4846,,,0.5301509826835652,,,0.22355850528086937,0.2247500197189911,0.5116105992904509,0.33877625360055524
2025,10,adverse_first,4846,,,3.0217562430155875,,,0.23634547474653197,0.2437097905575448,0.5989158044361707,0.6512424211675861
2025,20,mfe,4714,7.461237059795235,7.125236228079739,-4.715644800538053,10.241290937670726,0.2469868031044239,,,,
2025,20,mae,4714,5.143591038556586,5.395767290893804,4.673593925423818,7.202966327140035,0.3078943051317152,,,,
2025,20,forward_volatility,4714,11.252528024127809,15.137695948187933,25.665516980641957,16.384692165365134,0.6712669417362763,,,,
2025,20,success_5_before_3,4714,,,-0.6187128325687743,,,0.23437012484316064,0.23292896345549208,0.5088449716267339,0.34787680938289217
2025,20,adverse_first,4714,,,1.8932628932200732,,,0.2349694232063749,0.2395038609332536,0.5713838806534743,0.6589693395728501
2026,5,mfe,3399,4.324844155642151,4.175972016691305,-3.5649697449074447,5.899620723438668,0.3391420212788856,,,,
2026,5,mae,3399,2.9762738467392524,3.1897201463272467,6.691693621892303,4.285577728334233,0.34215890721439324,,,,
2026,5,forward_volatility,3399,17.873872631218642,21.195847112455873,15.672761100852872,26.403111400834852,0.5555791676062041,,,,
2026,5,success_5_before_3,3399,,,2.878622552875576,,,0.2143838545093363,0.22073807038625748,0.6037233771397694,0.40941375508962374
2026,5,adverse_first,3399,,,5.475238889783491,,,0.2370982698600623,0.2508319165002746,0.6135622997000174,0.5941185675226195
2026,10,mfe,3082,6.080568084221567,5.805912281594429,-4.730622670580751,8.239470346643461,0.3554285049261432,,,,
2026,10,mae,3082,4.187090984489155,4.142647152711603,-1.072836525516321,5.509875272333435,0.22130563338507295,,,,
2026,10,forward_volatility,3082,15.649300776350053,18.874283268742136,17.08664878275407,23.44253261971302,0.616056783672819,,,,
2026,10,success_5_before_3,3082,,,0.5512873429978298,,,0.22860126581017276,0.22986850176594717,0.5479403838750481,0.3902072321939753
2026,10,adverse_first,3082,,,3.9396106676910265,,,0.23725352128568888,0.24698371819516557,0.5814454305640105,0.6225529777567962
2026,20,mfe,2803,8.394528529338494,7.879809912261324,-6.532119718728819,11.327406868781956,0.35852117591196697,,,,
2026,20,mae,2803,5.509513166858465,5.423219881576827,-1.5911817548608713,7.023573729723518,0.15667847511678948,,,,
2026,20,forward_volatility,2803,12.653831315855461,16.134961430018944,21.575075523185774,18.217270816754418,0.6442052943160853,,,,
2026,20,success_5_before_3,2803,,,-0.7586558825727058,,,0.23413264634564987,0.23236975949591407,0.5066608137397459,0.3558283788085231
2026,20,adverse_first,2803,,,3.0690747476993665,,,0.234059182004428,0.24147007922930422,0.5617335367570229,0.6367765677716898
