policy,selected_minus_single_best_rejected,selected_minus_best_same_sized_rejected,selected_minus_average_rejected
C0,-24.572670599729264,-24.557405181154103,-0.10891642109336824
C1,-22.792550090288266,-22.777463901930357,-0.20350227296364226
C2,-24.789367171742775,-24.774660579646593,-0.13125956135085978
