period,policy,net_return_pct,gross_return_pct,max_drawdown_pct,sharpe,sortino,turnover,direct_costs,average_exposure,cash_utilization,completed_trades,average_holding_period,capacity_blocks,expired_queued_opportunities,top_1_signal_date_profit_share,top_5_signal_date_profit_share,top_10_signal_date_profit_share,top_strategy_profit_share,top_sector_profit_share,result_hash
FULL,C0,39.61507823016939,71.02970301666656,-44.23856912023516,0.3615621193740098,0.4896780209335618,249.59755496643322,314146.24786497164,725057.4006906342,0.7044434569796251,1418,10.231311706629056,1743,42115,0.015347087881344557,0.047778093112258585,0.0812044322060182,0.5347972212754328,0.6196384948303295,a9ff161f1dd0778a93e80b8053a0b52db60c14ac65e49627443abcfb7f837933
FULL,C1,188.9322908019753,221.15401941522285,-38.621340271230395,0.9602989773224675,1.4352022864427145,176.60997829901356,322217.28613247536,856731.9848254219,0.5737491242966655,1259,11.070691024622716,1745,42283,0.0334854556157926,0.1011607651058386,0.1513993818207947,0.9003602903846644,0.697815326845856,af514ab66f98718797a60773ea6e81a370464779d2c4cc4ac3e22ebcc95b5adf
FULL,C2,116.57630003361791,150.57950639666672,-27.199902624888594,0.8547686252877407,1.1915428831442527,227.58264800521508,340032.0636304881,788813.0524571657,0.6451242194573181,1444,10.016620498614959,1751,42089,0.01469631821596656,0.06431115650396832,0.11655917775802659,0.806468409171815,0.6867072321675473,6a8d031fba2645cedbf86ad88d19b729a77f8c7e83763aa3121b26c99b3d33f9
FULL,R0_104729,107.09641359538931,147.43117843127567,-31.417226359586014,0.6941789215305533,0.9839777546548929,246.45410216161437,403347.64835886366,988193.1439689037,0.706557457876216,1404,10.306980056980057,1749,42136,0.024385593356597478,0.06422561270433755,0.10661549034169669,0.5594795146237703,0.6812076712187763,3165cd1b5fef0662318aa79ba7a4e0152528ebdf8e1eb755e3270bd7779bda5f
FULL,R0_130363,32.39460661020921,57.98431106405397,-52.75668657005417,0.31675201446319645,0.4281673921160467,251.1243105910743,255897.04453844758,553266.327599301,0.7028400568365087,1434,10.10739191073919,1753,42110,0.01914420485700432,0.0680705067944136,0.10950592670852524,0.49098463681610693,0.6467166352424504,f6b49656530364b65e3f12fa55e1893ed66ff3bc7f4375aba31c22677fa23317
FULL,R0_155921,74.41869621201013,105.75842130833317,-39.362844122964205,0.5697332404732773,0.7846259087395052,231.40974484980154,313397.2509632305,759741.3992783156,0.6855026134450907,1342,10.309239940387481,1745,42199,0.012381847232284847,0.05422549969708306,0.09995153481509363,0.5768048401031999,0.612371296410443,0a58b86ce992ce139768b3c35964124c30effd0e523d39c11054e9f4bdb99931
FULL,R0_181081,41.1523775260231,68.7471131666666,-50.39069625496322,0.37387160610252557,0.5103608235545521,250.27165808831933,275947.35640643496,615494.30627618,0.7069169308003085,1426,10.169705469845722,1753,42121,0.011948257518333462,0.05013719769724573,0.08933725125323827,0.5216749895322808,0.6647794854614288,19f43289aa7a390f66838b8a97771af925fcf538edd3a5c8cd7130ffd031c1a9
FULL,R0_205019,80.05228371682122,112.58312365692294,-47.787468575218696,0.5780333539044968,0.805382504836167,246.40614271680934,325308.39940101735,760576.4254225877,0.7022433792442138,1417,10.189131968948482,1749,42116,0.019269913988792353,0.06268089447087286,0.10480685188657078,0.4815951321393546,0.6719888426040409,94b304b38581284daa8f0426dcc343cac3c8dc5e51d241ad7738adc92550755d
FULL,R0_230003,223.30553704247743,266.2183145188117,-36.73161488638077,1.0521821008680028,1.4727694293313718,242.73583458257693,429127.7747633434,1075150.7371881749,0.7088962371810879,1404,10.324786324786325,1752,42135,0.03066847521654699,0.10017517717215593,0.14365456744785618,0.5179583139734377,0.7040741847571064,0a1cb3a2c04d455227446698bb67386d02e7e34f89ce5a08e463ccd5f8917475
FULL,R0_256019,133.44407352524894,171.83258125698563,-36.40455520098619,0.8048857352791645,1.1189603505365273,247.59108308458488,383885.07731736684,924144.1880880296,0.7053406408565452,1411,10.26789510985117,1746,42126,0.01789136446321116,0.06913164065873131,0.11010372666161661,0.5552814055593351,0.665727455647155,b9f552e709004db28bdf510106d7400e130cd67f99e3c9ccd9fb6c51b6ceff5e
FULL,R0_280001,71.79934978199218,107.10403825358941,-42.04469320077694,0.5358056168821572,0.7439004434474591,247.74829503123473,353046.884715972,835607.7440470165,0.7006857717454038,1407,10.327647476901209,1752,42133,0.019422331248301457,0.07165366501779039,0.11395981298411993,0.4664870081703091,0.6434751933561086,34d3a3f5c17e167d8fcc122ed40705d594b244c6dc1cb914b8854c470500130a
FULL,R0_305023,98.64726338738201,135.21364213888867,-42.05783696541471,0.6630435978238262,0.9227006526397475,245.79907763740925,365663.7875150669,877987.1865601954,0.7024904446272329,1402,10.347360912981456,1748,42140,0.017347318982418453,0.059534558485535564,0.10294357055833603,0.54802203561431,0.6363415050431371,01e88c65ebb1e6d53e4990137359ee91adac1ad9f671a90aab69c6bd9c40517a
FULL,R0_330017,212.81580235791614,256.8282635743588,-51.23903026688581,0.9323717872362184,1.4368620173972575,243.03424851670007,440124.6121644265,1098298.761157687,0.705716645720649,1409,10.300922640170334,1744,42132,0.06021853245146986,0.12688820323860145,0.16964989022544022,0.5401735600675399,0.7030205042664435,d72d3a79260c0c6bd21766062a0afd2a539651771da47067b2100865faeee7e2
FULL,R0_355009,50.41943844548942,83.28232657178225,-43.60590384286051,0.42753484994356955,0.593527473069685,252.8501880240092,328628.88126292854,761018.2641967387,0.7108136538239997,1427,10.181499649614576,1748,42111,0.014799036805392733,0.05736558549178108,0.09875012782057271,0.5082571438804027,0.6098422197619301,150898956f05f4c67758bd7d3075965072830b64ee56c0288a732eafbc3b5d09
FULL,R0_380041,212.19125552180301,255.58115654708467,-44.42059107770186,1.0141407748584221,1.5216680522742765,228.56672665597097,433899.0102528166,1136744.8908982375,0.6956676047480178,1332,10.393393393393394,1752,42210,0.03543300005883173,0.09372565308577241,0.13141256777784524,0.5241243497410256,0.6931854404485392,c47422de3fc51f9a5d8927b285e66b381603f13f5709bd2eb1d5633cbc7c9f30
FULL,R0_405031,216.31818143824327,258.37920182193074,-35.774031757419834,1.0383330425138266,1.509014336359942,240.22608527667546,420610.2038368742,1048660.3539494406,0.6998743427427716,1391,10.452192667145939,1741,42155,0.02791870134134071,0.078314642712504,0.12573347479183536,0.5199198492333292,0.7279302529704198,e49aa59e5a9d198067e87c94227d28019df76f6738867c3f9482699c9c7094bc
FULL,R0_430007,24.749921624951952,54.419949729675274,-51.28456207933814,0.2690427072600565,0.3647131847199366,250.26866477521062,296700.28104723326,675828.1620944069,0.7044449233181419,1416,10.158898305084746,1748,42121,0.014087973075366696,0.062469346046696884,0.10419572078930452,0.4982574768875673,0.5761362798840348,432fbec911535d2dcec5ec41b0803459624105ce2c5822893b6a8c02110cfb60
FULL,R0_455003,133.03772304064148,167.89648698052787,-43.270293616487734,0.7725165120577383,1.0554441883064647,246.68290568738337,348587.6393988641,828664.7127758221,0.7076028779883696,1410,10.319148936170214,1752,42138,0.011975514416450493,0.05439507085972323,0.09739935984429088,0.5354202633193217,0.6812724098213975,02fe57a2855fbdd3bdf06ffd0c325876775f4c74ee434f9b528f6bab6b3043c7
FULL,R0_480017,70.21848350448083,102.94475870555556,-40.76002232984818,0.49986088062313205,0.7446228211050117,248.35693311314785,327262.7520107471,771764.3689577496,0.7093551312508103,1404,10.351139601139602,1744,42132,0.04967276530047353,0.09036770422427474,0.12977386539574873,0.5103821192829116,0.6355221555886915,36def11fdfad86eca476bbf08dec8a1dccbdf8bd2bcad1d8994c09e79ec106c7
