policy,dimension,group,n,selected_n,selected_mean_h10,rejected_mean_h10,selection_lift_h10
C0,year,2016,848,34,-3.538054401837046,-5.412058007310527,1.8740036054734812
C0,year,2017,13089,193,2.0253441268823176,1.2788410290784946,0.746503097803823
C0,year,2018,4922,180,-1.8960862267098422,-2.4909967310100365,0.5949105043001943
C0,year,2019,2771,193,-0.19236007676052674,-0.6938788314913648,0.501518754730838
C0,year,2020,6880,183,0.5189198527248221,0.9911362218577572,-0.4722163691329351
C0,year,2021,19647,196,1.7462811604754647,1.4308185034515233,0.3154626570239414
C0,year,2022,11900,195,-0.7503384450888835,-0.29113035435093404,-0.45920809073794944
C0,year,2023,20270,197,1.0306730802807027,1.6250548677031553,-0.5943817874224526
C0,year,2024,1640,8,6.4901281691976465,1.7298020504602363,4.76032611873741
C0,strategy,Donchian Channel Breakout,45334,691,0.6515282463174741,0.7340260724594895,-0.0824978261420154
C0,strategy,EMA Pullback / Bounce,1674,59,-1.6007159724006885,0.169804959886451,-1.7705209322871396
C0,strategy,RS Momentum Breakout,17827,299,-0.1511940428408299,0.77836560981732,-0.9295596526581499
C0,strategy,VCP Volatility Contraction Breakout,17132,330,0.38636624259796837,1.0892995888348658,-0.7029333462368974
C0,sector,UNKNOWN,56122,784,0.6320070962072839,1.0581873243967954,-0.4261802281895115
C0,sector,nan,25845,595,-0.09653100226026105,0.2546928675658268,-0.3512238698260879
C1,year,2016,844,34,-4.235058220700628,-5.1992370347329295,0.9641788140323015
C1,year,2017,13122,181,2.0127352701923216,1.2753057516364157,0.7374295185559059
C1,year,2018,4981,164,-2.175089359804268,-2.405821370416014,0.23073201061174586
C1,year,2019,2750,191,-0.3381802376610459,-0.6053146998425082,0.2671344621814623
C1,year,2020,6933,171,0.352358582815835,0.9952908211797947,-0.6429322383639597
C1,year,2021,19827,146,0.771416768956997,1.4490189465872954,-0.6776021776302984
C1,year,2022,11981,147,0.03012018036915787,-0.35276026015257106,0.3828804405217289
C1,year,2023,20379,139,2.034701719979671,1.5897674286424195,0.4449342913372516
C1,year,2024,1660,7,-7.615522642434543,1.9232660226614813,-9.538788665096025
C1,strategy,Donchian Channel Breakout,45309,1035,0.11520651580215353,0.7602874939183312,-0.6450809781161776
C1,strategy,EMA Pullback / Bounce,1723,12,-2.3804423001670103,0.17932604338233885,-2.559768343549349
C1,strategy,RS Momentum Breakout,17785,92,1.649625903448892,0.7353201869484333,0.9143057165004588
C1,strategy,VCP Volatility Contraction Breakout,17660,41,-0.8929337157820928,1.0560461680626059,-1.9489798838446988
C1,sector,UNKNOWN,56509,622,0.7200981303309549,1.035495438519831,-0.315397308188876
C1,sector,nan,25968,558,-0.43382132624085457,0.3035639235019002,-0.7373852497427548
C2,year,2016,854,38,-2.9736903617640493,-5.320050181550066,2.3463598197860165
C2,year,2017,13201,204,0.5947495147850665,1.329921361099301,-0.7351718463142345
C2,year,2018,4951,188,-0.8872241794294699,-2.562923801403803,1.6756996219743332
C2,year,2019,2850,197,0.15596144923256425,-0.7461914828298178,0.9021529320623821
C2,year,2020,6971,187,0.5425387781329487,0.914966656085889,-0.3724278779529403
C2,year,2021,19664,195,1.3365980318634254,1.4085478439500916,-0.07194981208666618
C2,year,2022,11894,200,-0.13896452699843878,-0.3404361006328419,0.20147157363440313
C2,year,2023,20289,201,1.0581932602353217,1.611910148592498,-0.5537168883571764
C2,year,2024,1649,8,2.7181987618359673,1.8562857926308212,0.8619129692051462
C2,strategy,Donchian Channel Breakout,45210,1146,0.26552059316479987,0.7400934578419487,-0.4745728646771488
C2,strategy,EMA Pullback / Bounce,1719,22,-0.8016412114804145,0.1567996212763048,-0.9584408327567193
C2,strategy,RS Momentum Breakout,18063,84,0.5517211978922361,0.7310313148583255,-0.17931011696608945
C2,strategy,VCP Volatility Contraction Breakout,17331,166,0.650606933882435,1.0376640767329695,-0.3870571428505345
C2,sector,UNKNOWN,56282,795,0.6289182677331306,1.0226438523753405,-0.39372558464220986
C2,sector,nan,26041,623,-0.09469373689585114,0.2788906890338441,-0.37358442592969526
